                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2918,                 3.8854,                 1.5804,                      0,                      0,                      0,                      0,                 1.0949,                  7.159,                 1.9181,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.1729,                 4.7123,                 1.4961,                      0,                      0,                      0,                      0,                 1.1391,                 7.1993,                 1.9408,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      2,                 1.1824,                 3.7916,                 1.4297,                    0.2,                   0.25,                  0.125,                 0.0875,                0.70103,                 8.1258,                 1.6493,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 1.0694,                 2.6884,                 1.3202,                    0.2,                   0.25,                  0.125,                 0.0875,                0.73269,                 7.7304,                 1.6492,             0.00013584,             0.00013584,             0.00013584
                      4,                  1.066,                 2.1776,                 1.4062,                   0.75,                   0.75,                 0.7175,                0.59017,                 1.0939,                 6.3646,                 1.6675,             0.00017287,             0.00017287,             0.00017287
                      5,                0.83981,                 1.4302,                 1.2335,                0.49324,                      1,                0.67357,                0.46745,                  1.305,                 6.6882,                 1.6979,             0.00020911,             0.00020911,             0.00020911
                      6,                0.91696,                 1.4992,                 1.2441,                0.61761,                      1,                0.84917,                 0.6885,                0.97344,                 5.4387,                 1.3546,             0.00024456,             0.00024456,             0.00024456
                      7,                 0.8501,                 1.2984,                 1.1602,                0.64955,                      1,                0.91167,                0.75852,                0.78346,                 5.5447,                 1.2116,             0.00027921,             0.00027921,             0.00027921
                      8,                0.85556,                0.98946,                 1.1983,                      1,                   0.75,                0.91167,                0.78571,                0.75945,                 5.0788,                 1.1447,             0.00031307,             0.00031307,             0.00031307
                      9,                0.79246,                 1.0586,                 1.1136,                      1,                    0.5,                0.72795,                0.65154,                0.80591,                 5.8449,                 1.1682,             0.00034614,             0.00034614,             0.00034614
                     10,                0.98524,                 1.1824,                 1.2339,                      1,                    0.5,                0.55845,                0.49802,                0.86495,                 7.0397,                 1.2637,             0.00037842,             0.00037842,             0.00037842
                     11,                0.80709,                 1.1761,                 1.1415,                0.77364,                      1,                  0.895,                  0.713,                0.91208,                 5.8253,                 1.3711,             0.00040991,             0.00040991,             0.00040991
